tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1738.00;lecheria_entrada_0;316.19;16.59;1505.00;0.20;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.209 routing_cost_lech_L.209;233.00;cost_lech_L.209;1;2236.88;1.03;0.00;86.73;liviano;;0;0.00
1739.00;madre_vieja_entrada_0;821.32;13.54;1155.00;3.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.80 routing_ffaa_madre_L.80;584.00;ffaa_madre_L.80;1;3392.44;0.82;0.00;256.75;liviano;;5;149.00
1739.00;costanera_entrada_0;84.07;4.58;1406.00;2.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_res_perrokero5.39 routing_res_perrokero5.39;333.00;res_perrokero5.39;1;1321.78;0.67;0.00;121.61;liviano;;3;69.00
1740.00;costanera_entrada_1;84.07;6.33;1517.00;5.00;lecheria_salida_0;2.30;0.00;tripinfo_lech_cost_M.42 routing_lech_cost_M.42;223.00;lech_cost_M.42;1;2234.51;0.82;0.00;28.89;moto;;1;8.00
1741.00;costanera_entrada_0;84.07;7.19;1524.00;0.00;lecheria_salida_0;5.10;0.00;tripinfo_lech_cost_L.127 routing_lech_cost_L.127;217.00;lech_cost_L.127;1;2231.71;0.94;0.00;48.02;liviano;;1;2.00
1742.00;lecheria_entrada_1;316.19;17.77;1296.00;0.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_lech_L.90 routing_ffaa_lech_L.90;446.00;ffaa_lech_L.90;1;2906.39;1.07;0.00;236.44;liviano;;3;115.00
1743.00;lecheria_entrada_0;316.19;9.97;1462.00;0.40;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.203 routing_cost_lech_L.203;281.00;cost_lech_L.203;1;2236.88;0.60;0.00;40.65;liviano;;1;9.00
1744.00;lecheria_entrada_1;316.19;17.65;1516.00;4.00;costanera_salida_0;2.30;0.00;tripinfo_cost_lech_M.63 routing_cost_lech_M.63;228.00;cost_lech_M.63;1;2233.65;1.08;0.00;94.28;moto;;1;46.00
1745.00;costanera_entrada_0;84.07;6.12;1501.00;1.00;lecheria_salida_0;5.10;0.00;tripinfo_lech_cost_L.125 routing_lech_cost_L.125;244.00;lech_cost_L.125;1;2231.71;0.83;0.00;52.35;liviano;;2;26.00
1746.00;lecheria_entrada_1;316.19;20.63;1538.00;2.00;costanera_salida_0;2.30;0.00;tripinfo_cost_lech_M.64 routing_cost_lech_M.64;208.00;cost_lech_M.64;1;2233.65;1.27;0.00;94.10;moto;;1;30.00
1749.00;lecheria_entrada_0;316.19;11.59;1314.00;3.60;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_lech_L.91 routing_ffaa_lech_L.91;435.00;ffaa_lech_L.91;1;2906.39;0.77;0.00;140.36;liviano;;3;93.00
1749.00;lecheria_entrada_1;316.19;15.09;1514.00;2.00;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.210 routing_cost_lech_L.210;235.00;cost_lech_L.210;1;2236.88;0.95;0.00;83.42;liviano;;2;43.00
1751.00;madre_vieja_entrada_0;821.32;11.42;1182.00;1.20;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.82 routing_ffaa_madre_L.82;569.00;ffaa_madre_L.82;1;3392.44;0.74;0.00;219.16;liviano;;4;130.00
1751.00;costanera_entrada_0;84.07;6.32;1454.00;14.00;lecheria_salida_0;5.10;0.00;tripinfo_lech_cost_C.16 routing_lech_cost_C.16;297.00;lech_cost_C.16;1;2226.53;1.03;15.00;107.76;carrito;;3;14.00
1752.00;lecheria_entrada_0;316.19;14.83;1520.00;0.80;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.211 routing_cost_lech_L.211;232.00;cost_lech_L.211;1;2230.85;0.90;0.00;72.54;liviano;;1;38.00
1752.00;fuerzas_armadas_entrada_0;144.11;4.46;1536.00;0.00;costanera_salida_0;5.10;0.00;tripinfo_cost_ffaa_L.64 routing_cost_ffaa_L.64;216.00;cost_ffaa_L.64;1;1304.12;0.96;0.00;75.83;liviano;;3;43.00
1754.00;av_rio_entrada_1;228.82;11.23;1253.00;0.20;lecheria_salida_0;5.10;0.00;tripinfo_lech_rio_L.87 routing_lech_rio_L.87;501.00;lech_rio_L.87;1;3170.09;1.07;0.00;243.63;liviano;;5;83.00
1755.00;lecheria_entrada_0;316.19;15.79;1383.00;0.60;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_lech_L.96 routing_ffaa_lech_L.96;372.00;ffaa_lech_L.96;1;2906.39;0.99;0.00;128.27;liviano;;2;45.00
1755.00;lecheria_entrada_1;316.19;20.21;1562.00;2.00;costanera_salida_0;2.30;0.00;tripinfo_cost_lech_M.65 routing_cost_lech_M.65;193.00;cost_lech_M.65;1;2233.65;1.22;0.00;73.29;moto;;1;8.00
1757.00;av_rio_entrada_0;228.82;6.83;1239.00;0.60;lecheria_salida_0;5.10;0.00;tripinfo_lech_rio_L.86 routing_lech_rio_L.86;518.00;lech_rio_L.86;1;3175.27;0.72;0.00;147.63;liviano;;5;79.00
1762.00;lecheria_entrada_0;316.19;13.91;1534.00;0.40;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.213 routing_cost_lech_L.213;228.00;cost_lech_L.213;1;2230.85;0.85;0.00;59.32;liviano;;1;28.00
1763.00;fuerzas_armadas_entrada_0;144.11;3.96;1332.00;0.00;lecheria_salida_0;5.10;0.00;tripinfo_cost_ffaa_L1.74 routing_cost_ffaa_L1.74;431.00;cost_ffaa_L1.74;1;2931.26;0.91;0.00;138.45;liviano;;2;51.00
1765.00;lecheria_entrada_1;316.19;14.69;1527.00;0.60;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.212 routing_cost_lech_L.212;238.00;cost_lech_L.212;1;2236.88;0.94;0.00;78.66;liviano;;2;36.00
1765.00;fuerzas_armadas_entrada_1;144.11;4.85;1560.00;0.00;costanera_salida_0;5.10;0.00;tripinfo_cost_ffaa_L.65 routing_cost_ffaa_L.65;205.00;cost_ffaa_L.65;1;1304.15;1.01;0.00;71.91;liviano;;2;30.00
1766.00;lecheria_entrada_0;316.19;19.52;1589.00;5.00;costanera_salida_0;2.30;0.00;tripinfo_cost_lech_M.66 routing_cost_lech_M.66;177.00;cost_lech_M.66;1;2233.65;1.26;0.00;52.49;moto;;1;4.00
1768.00;fuerzas_armadas_entrada_1;144.11;5.69;1296.00;0.00;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.90 routing_madre_ffaa_L.90;472.00;madre_ffaa_L.90;1;3393.87;1.06;0.00;171.64;liviano;;3;59.00
1768.00;av_rio_entrada_0;228.82;9.63;1311.00;0.60;lecheria_salida_0;5.10;0.00;tripinfo_lech_rio_L.91 routing_lech_rio_L.91;457.00;lech_rio_L.91;1;3170.09;0.96;0.00;168.30;liviano;;2;68.00
1768.00;lecheria_entrada_0;316.19;12.78;1549.00;1.00;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.215 routing_cost_lech_L.215;219.00;cost_lech_L.215;1;2236.88;0.80;0.00;37.57;liviano;;1;11.00
1770.00;fuerzas_armadas_entrada_0;144.11;3.14;1512.00;0.00;costanera_salida_0;5.10;0.00;tripinfo_cost_ffaa_L.63 routing_cost_ffaa_L.63;258.00;cost_ffaa_L.63;1;1304.12;0.71;0.00;69.85;liviano;;1;40.00
1771.00;costanera_entrada_0;84.07;6.01;1447.00;7.00;lecheria_salida_0;12.10;0.00;tripinfo_lech_cost_P.16 routing_lech_cost_P.16;324.00;lech_cost_P.16;1;2224.71;0.75;30.00;59.30;pesado;;2;14.00
1772.00;fuerzas_armadas_entrada_1;144.11;4.47;1623.00;3.00;av_rio_salida_0;5.10;0.00;tripinfo_rio_cost_L1.45 routing_rio_cost_L1.45;149.00;rio_cost_L1.45;1;543.09;0.94;0.00;79.08;liviano;;1;65.00
1776.00;av_rio_entrada_0;228.82;8.48;1276.00;8.80;lecheria_salida_0;5.10;0.00;tripinfo_lech_rio_L.88 routing_lech_rio_L.88;500.00;lech_rio_L.88;1;3165.99;0.87;0.00;184.27;liviano;;5;78.00
1776.00;fuerzas_armadas_entrada_0;144.11;4.06;1584.00;0.00;costanera_salida_0;5.10;0.00;tripinfo_cost_ffaa_L.66 routing_cost_ffaa_L.66;192.00;cost_ffaa_L.66;1;1304.12;0.80;0.00;25.13;liviano;;1;1.00
1777.00;fuerzas_armadas_entrada_1;144.11;4.26;1350.00;0.00;lecheria_salida_0;5.10;0.00;tripinfo_cost_ffaa_L1.75 routing_cost_ffaa_L1.75;427.00;cost_ffaa_L1.75;1;2931.26;0.86;0.00;118.36;liviano;;1;48.00
1779.00;costanera_entrada_1;84.07;9.59;1517.00;5.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_res_perrokero5.42 routing_res_perrokero5.42;262.00;res_perrokero5.42;1;1321.78;1.18;0.00;139.43;liviano;;2;93.00
1779.00;lecheria_entrada_1;316.19;13.56;1570.00;0.40;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.218 routing_cost_lech_L.218;209.00;cost_lech_L.218;1;2236.88;0.87;0.00;40.60;liviano;;0;0.00
1780.00;fuerzas_armadas_entrada_0;144.11;3.73;1282.00;0.40;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.89 routing_madre_ffaa_L.89;498.00;madre_ffaa_L.89;1;3393.87;0.84;0.00;133.59;liviano;;2;58.00
1780.00;lecheria_entrada_1;316.19;14.90;1577.00;0.20;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.219 routing_cost_lech_L.219;203.00;cost_lech_L.219;1;2236.88;0.91;0.00;45.43;liviano;;0;0.00
1781.00;costanera_entrada_0;84.07;5.70;1448.00;8.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_res_perrokero5.40 routing_res_perrokero5.40;333.00;res_perrokero5.40;1;1321.78;0.82;0.00;157.99;liviano;;4;115.00
1781.00;lecheria_entrada_0;316.19;11.78;1556.00;0.80;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.216 routing_cost_lech_L.216;225.00;cost_lech_L.216;1;2230.85;0.74;0.00;31.46;liviano;;1;4.00
1782.00;lecheria_entrada_1;316.19;16.17;1587.00;3.00;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.220 routing_cost_lech_L.220;195.00;cost_lech_L.220;1;2236.88;0.98;0.00;42.65;liviano;;0;0.00
1783.00;bissau_entrada_0;41.56;4.68;1320.00;0.00;av_rio_salida_0;5.10;0.00;tripinfo_res_bissau1.11 routing_res_bissau1.11;463.00;res_bissau1.11;1;2008.45;0.71;0.00;183.57;liviano;;3;107.00
1783.00;lecheria_entrada_1;316.19;15.35;1563.00;0.60;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.217 routing_cost_lech_L.217;220.00;cost_lech_L.217;1;2236.88;0.98;0.00;68.17;liviano;;2;9.00
1784.00;costanera_entrada_0;84.07;6.85;1442.00;2.00;av_rio_salida_0;5.10;0.00;tripinfo_rio_cost_L.40 routing_rio_cost_L.40;342.00;rio_cost_L.40;1;1548.75;0.86;0.00;154.14;liviano;;4;106.00
1785.00;lecheria_entrada_1;316.19;17.33;1332.00;0.00;fuerzas_armadas_salida_0;2.30;0.00;tripinfo_ffaa_lech_M.37 routing_ffaa_lech_M.37;453.00;ffaa_lech_M.37;1;2909.19;1.05;0.00;238.64;moto;;6;138.00
1788.00;costanera_entrada_0;84.07;6.55;1477.00;1.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_res_perrokero5.41 routing_res_perrokero5.41;311.00;res_perrokero5.41;1;1321.78;0.82;0.00;136.21;liviano;;2;99.00
1788.00;fuerzas_armadas_entrada_0;144.11;3.73;1543.00;0.15;costanera_salida_0;12.10;0.00;tripinfo_cost_ffaa_P.15 routing_cost_ffaa_P.15;245.00;cost_ffaa_P.15;1;1297.15;0.71;0.00;56.72;pesado;;1;12.00
1790.00;lecheria_entrada_0;316.19;12.86;1541.00;0.20;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.214 routing_cost_lech_L.214;249.00;cost_lech_L.214;1;2236.88;0.83;0.00;69.09;liviano;;2;32.00
1792.00;fuerzas_armadas_entrada_1;144.11;4.13;1325.00;0.20;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.92 routing_madre_ffaa_L.92;467.00;madre_ffaa_L.92;1;3393.90;0.90;0.00;122.37;liviano;;1;39.00
1793.00;madre_vieja_entrada_0;821.32;16.08;1328.00;3.20;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.92 routing_ffaa_madre_L.92;465.00;ffaa_madre_L.92;1;3392.44;0.97;0.00;200.46;liviano;;4;125.00
1795.00;fuerzas_armadas_entrada_0;144.11;3.05;1314.00;0.00;lecheria_salida_0;5.10;0.00;tripinfo_cost_ffaa_L1.73 routing_cost_ffaa_L1.73;481.00;cost_ffaa_L1.73;1;2931.29;0.77;0.00;141.48;liviano;;2;65.00
1796.00;fuerzas_armadas_entrada_1;144.11;3.82;1404.00;0.00;lecheria_salida_0;5.10;0.00;tripinfo_cost_ffaa_L1.78 routing_cost_ffaa_L1.78;392.00;cost_ffaa_L1.78;1;2931.29;0.88;0.00;87.68;liviano;;0;0.00
1797.00;fuerzas_armadas_entrada_0;144.11;5.78;1305.00;0.00;madre_vieja_salida_0;2.30;0.00;tripinfo_madre_ffaa_M.29 routing_madre_ffaa_M.29;492.00;madre_ffaa_M.29;1;3396.70;1.09;0.00;192.20;moto;;2;44.00
1799.00;madre_vieja_entrada_1;821.32;15.39;1269.00;1.80;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.88 routing_ffaa_madre_L.88;530.00;ffaa_madre_L.88;1;3392.44;0.93;0.00;247.16;liviano;;6;136.00
1799.00;madre_vieja_entrada_0;821.32;13.65;1299.00;3.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.90 routing_ffaa_madre_L.90;500.00;ffaa_madre_L.90;1;3392.49;0.88;0.00;196.57;liviano;;5;139.00
1799.00;fuerzas_armadas_entrada_0;144.11;4.85;1340.00;0.80;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.93 routing_madre_ffaa_L.93;459.00;madre_ffaa_L.93;1;3393.90;1.01;0.00;149.69;liviano;;1;37.00
