interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;100.00;reporte_densidad_final;0;0;0;-830761837#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761837#3;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761837#4;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761838;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761840;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761841#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761841#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761842;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761843#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761843#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761843#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830761843#3;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830806307#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830806307#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-830806307#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-897715900#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-897715900#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-912235568#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-912235568#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-912235569;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-912235570;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-912235571;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-912235572;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390595#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390595#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390596#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390596#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390596#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390597;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390605#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390605#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390606#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-914390606#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221550#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221550#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221551;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221552#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221552#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221553#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221553#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221554#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221554#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221554#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221554#3;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-998221554#4;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1088913659;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1088915504;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1088915526;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1088915527;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1104794249;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1106623985;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1106649036#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1106649036#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1199343269#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1199343269#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1201018455#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1201018455#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1201018455#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886406;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886407;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886408#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886408#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886409;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886410;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886644;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1221886645;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223688132;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223688133#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223688133#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223690883;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223690884;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223690887;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223690888;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223690889#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695890;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695891;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695892#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695892#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695892#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695893#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;1223695893#1;0;0;0;0.00
